0,1,2
1,102,105
1,103,106
1,104,107
1,105,108
1,106,109
1,107,110
1,108,111
1,109,112
1,110,113
1,111,114
1,112,115
1,113,116
1,114,117
1,115,118
1,116,119
1,117,120
1,121,124
1,122,125
1,123,126
1,124,127
1,125,128
1,126,129
1,127,130
1,128,131
1,129,132
1,130,133
1,131,134
1,132,135
1,133,136
1,134,137
1,135,138
1,136,139
1,137,140
1,138,141
1,139,142
1,140,143
1,141,144
2,1,25
2,2,26
2,3,27
2,4,28
2,5,29
2,6,30
2,7,31
2,8,32
2,9,33
2,10,34
2,11,35
2,12,36
2,13,37
2,14,38
2,15,39
2,16,40
2,17,41
2,18,42
2,19,43
2,20,44
2,21,45
2,22,46
2,23,47
2,24,48
2,25,49
2,26,50
2,27,51
2,28,52
2,29,53
2,30,54
2,31,55
2,32,56
2,33,57
2,34,58
2,35,59
2,36,60
2,37,61
2,38,62
2,39,63
2,40,64
2,41,65
2,42,66
2,43,67
2,44,68
2,45,69
2,46,70
2,47,71
2,48,72
2,49,73
2,50,74
2,51,75
2,52,76
2,53,77
2,54,78
2,55,79
2,56,80
2,57,81
2,58,82
2,59,83
2,60,84
2,61,85
2,62,86
2,63,87
2,64,88
2,65,89
2,66,90
2,67,91
2,68,92
2,69,93
2,70,94
2,71,95
2,72,96
2,73,97
2,74,98
2,75,99
2,76,100
2,77,101
2,78,102
2,79,103
2,80,104
2,81,105
2,82,106
2,83,107
2,84,108
2,85,109
2,86,110
2,87,111
2,88,112
2,89,113
2,90,114
2,91,115
2,92,116
2,93,117
2,94,118
2,95,119
2,96,120
2,97,121
2,98,122
2,99,123
2,100,124
2,101,125
2,102,126
2,103,127
2,104,128
2,105,129
2,106,130
2,107,131
2,108,132
2,109,133
2,110,134
2,111,135
2,112,136
2,113,137
2,114,138
2,115,139
2,116,140
2,117,141
2,118,142
2,119,143
2,120,144
3,1,5
3,2,4
3,2,6
3,3,5
3,4,8
3,5,7
3,5,9
3,6,8
3,7,11
3,8,10
3,8,12
3,9,11
3,10,14
3,11,13
3,11,15
3,12,14
3,13,17
3,14,16
3,14,18
3,15,17
3,16,20
3,17,19
3,17,21
3,18,20
3,19,23
3,20,22
3,20,24
3,21,23
3,25,29
3,26,28
3,26,30
3,27,29
3,28,32
3,29,31
3,29,33
3,30,32
3,31,35
3,32,34
3,32,36
3,33,35
3,34,38
3,35,37
3,35,39
3,36,38
3,37,41
3,38,40
3,38,42
3,39,41
3,40,44
3,41,43
3,41,45
3,42,44
3,43,47
3,44,46
3,44,48
3,45,47
3,49,53
3,50,52
3,50,54
3,51,53
3,52,56
3,53,55
3,53,57
3,54,56
3,55,59
3,56,58
3,56,60
3,57,59
3,58,62
3,59,61
3,59,63
3,60,62
3,61,65
3,62,64
3,62,66
3,63,65
3,64,68
3,65,67
3,65,69
3,66,68
3,67,71
3,68,70
3,68,72
3,69,71
3,73,77
3,74,76
3,74,78
3,75,77
3,76,80
3,77,79
3,77,81
3,78,80
3,79,83
3,80,82
3,80,84
3,81,83
3,82,86
3,83,85
3,83,87
3,84,86
3,85,89
3,86,88
3,86,90
3,87,89
3,88,92
3,89,91
3,89,93
3,90,92
3,91,95
3,92,94
3,92,96
3,93,95
3,97,101
3,98,100
3,98,102
3,99,101
3,100,104
3,101,103
3,101,105
3,102,104
3,103,107
3,104,106
3,104,108
3,105,107
3,106,110
3,107,109
3,107,111
3,108,110
3,109,113
3,110,112
3,110,114
3,111,113
3,112,116
3,113,115
3,113,117
3,114,116
3,115,119
3,116,118
3,116,120
3,117,119
3,121,125
3,122,124
3,122,126
3,123,125
3,124,128
3,125,127
3,125,129
3,126,128
3,127,131
3,128,130
3,128,132
3,129,131
3,130,134
3,131,133
3,131,135
3,132,134
3,133,137
3,134,136
3,134,138
3,135,137
3,136,140
3,137,139
3,137,141
3,138,140
3,139,143
3,140,142
3,140,144
3,141,143
4,1,26
4,2,25
4,2,27
4,3,26
4,25,50
4,26,49
4,26,51
4,27,50
4,49,74
4,50,73
4,50,75
4,51,74
4,73,98
4,74,97
4,74,99
4,75,98
4,97,122
4,98,121
4,98,123
4,99,122
4,4,29
4,5,28
4,5,30
4,6,29
4,28,53
4,29,52
4,29,54
4,30,53
4,52,77
4,53,76
4,53,78
4,54,77
4,76,101
4,77,100
4,77,102
4,78,101
4,100,125
4,101,124
4,101,126
4,102,125
4,7,32
4,8,31
4,8,33
4,9,32
4,31,56
4,32,55
4,32,57
4,33,56
4,55,80
4,56,79
4,56,81
4,57,80
4,79,104
4,80,103
4,80,105
4,81,104
4,103,128
4,104,127
4,104,129
4,105,128
4,10,35
4,11,34
4,11,36
4,12,35
4,34,59
4,35,58
4,35,60
4,36,59
4,58,83
4,59,82
4,59,84
4,60,83
4,82,107
4,83,106
4,83,108
4,84,107
4,106,131
4,107,130
4,107,132
4,108,131
4,13,38
4,14,37
4,14,39
4,15,38
4,37,62
4,38,61
4,38,63
4,39,62
4,61,86
4,62,85
4,62,87
4,63,86
4,85,110
4,86,109
4,86,111
4,87,110
4,109,134
4,110,133
4,110,135
4,111,134
4,16,41
4,17,40
4,17,42
4,18,41
4,40,65
4,41,64
4,41,66
4,42,65
4,64,89
4,65,88
4,65,90
4,66,89
4,88,113
4,89,112
4,89,114
4,90,113
4,112,137
4,113,136
4,113,138
4,114,137
4,19,44
4,20,43
4,20,45
4,21,44
4,43,68
4,44,67
4,44,69
4,45,68
4,67,92
4,68,91
4,68,93
4,69,92
4,91,116
4,92,115
4,92,117
4,93,116
4,115,140
4,116,139
4,116,141
4,117,140
4,22,47
4,23,46
4,23,48
4,24,47
4,46,71
4,47,70
4,47,72
4,48,71
4,70,95
4,71,94
4,71,96
4,72,95
4,94,119
4,95,118
4,95,120
4,96,119
4,118,143
4,119,142
4,119,144
4,120,143
5,1,28
5,4,25
5,9,36
5,12,33
5,17,44
5,20,41
5,25,52
5,28,49
5,33,60
5,36,57
5,41,68
5,44,65
5,49,76
5,52,73
5,25,52
5,28,49
5,33,60
5,36,57
5,41,68
5,44,65
5,49,76
5,52,73
5,57,84
5,60,81
5,65,92
5,68,89
5,73,100
5,76,97
5,49,76
5,52,73
5,57,84
5,60,81
5,65,92
5,68,89
5,73,100
5,76,97
5,81,108
5,84,105
5,89,116
5,92,113
5,97,124
5,100,121
5,73,100
5,76,97
5,81,108
5,84,105
5,89,116
5,92,113
5,97,124
5,100,121
5,105,132
5,108,129
5,113,140
5,116,137
5,121,148
5,124,145
5,97,124
5,100,121
5,105,132
5,108,129
5,113,140
5,116,137
5,121,148
5,124,145
5,129,156
5,132,153
5,137,164
5,140,161
5,145,172
5,148,169
5,2,29
5,5,26
5,10,37
5,13,34
5,18,45
5,21,42
5,26,53
5,29,50
5,34,61
5,37,58
5,42,69
5,45,66
5,50,77
5,53,74
5,26,53
5,29,50
5,34,61
5,37,58
5,42,69
5,45,66
5,50,77
5,53,74
5,58,85
5,61,82
5,66,93
5,69,90
5,74,101
5,77,98
5,50,77
5,53,74
5,58,85
5,61,82
5,66,93
5,69,90
5,74,101
5,77,98
5,82,109
5,85,106
5,90,117
5,93,114
5,98,125
5,101,122
5,74,101
5,77,98
5,82,109
5,85,106
5,90,117
5,93,114
5,98,125
5,101,122
5,106,133
5,109,130
5,114,141
5,117,138
5,122,149
5,125,146
5,98,125
5,101,122
5,106,133
5,109,130
5,114,141
5,117,138
5,122,149
5,125,146
5,130,157
5,133,154
5,138,165
5,141,162
5,146,173
5,149,170
5,3,30
5,6,27
5,11,38
5,14,35
5,19,46
5,22,43
5,27,54
5,30,51
5,35,62
5,38,59
5,43,70
5,46,67
5,51,78
5,54,75
5,27,54
5,30,51
5,35,62
5,38,59
5,43,70
5,46,67
5,51,78
5,54,75
5,59,86
5,62,83
5,67,94
5,70,91
5,75,102
5,78,99
5,51,78
5,54,75
5,59,86
5,62,83
5,67,94
5,70,91
5,75,102
5,78,99
5,83,110
5,86,107
5,91,118
5,94,115
5,99,126
5,102,123
5,75,102
5,78,99
5,83,110
5,86,107
5,91,118
5,94,115
5,99,126
5,102,123
5,107,134
5,110,131
5,115,142
5,118,139
5,123,150
5,126,147
5,99,126
5,102,123
5,107,134
5,110,131
5,115,142
5,118,139
5,123,150
5,126,147
5,131,158
5,134,155
5,139,166
5,142,163
5,147,174
5,150,171
